Category,Is Hashtag,Text,Quote,Retweet Count,Favorite Count,Is Reply
music,FALSE,"""RT @BenedictEffect: It's funny how a PDF file of 5mb seems too big to download because it's for learning.

But a music video of 50mb doesn'…""",FALSE,1,0,FALSE
music,FALSE,"""RT @btsworIdwide: #BTS ‘Boy With Luv’ won at Music Bank today! 
Total 8 wins so far! 
__ Music Bank __
__ Music Core 
__ Show Champion 
__ MCoun…""",FALSE,1741,0,FALSE
music,FALSE,"""RT @winterVerry1230: ___190501 Billboard Music Awards Reaction to Taylor Swift's ""Me!"" 
#__ #_ #______ #Taehyung #BTS 
@BTS_twt it's a party…""",FALSE,10064,0,FALSE
music,FALSE,"""RT @tsukubadtm: __________
__________________

__: 5/11(_)13:00_
____:___________
(_305-0821 ____________
https://t.co/Zt26rsg6Bt )
___:___…""",FALSE,4,0,FALSE
music,FALSE,"""RT @BigHitEnt: Cat &amp; Dog (English ver.) Release
#_________ #TOMORROW_X_TOGETHER #TXT #TheDreamChapter #STAR #CatAndDog #___ 

___: https://…""",FALSE,7264,0,FALSE
music,FALSE,"""RT @BTS_Thailand: [__] @BTS_twt ______ 1 ______ Music Bank _______________ _______ Triple Crown _______________ ______

#BoyWithLuv8thWin https…""",FALSE,3374,0,FALSE
music,FALSE,"""RT @hikinigemovie: _TV_____
____5/10_____8______________________@Mst_com _ #___ ____________#______ _____________________________ #___ #___…""",FALSE,6,0,FALSE
music,FALSE,"""RT @youtubemusic: The girl group crossover of our dreams __ Who else needs another live performance of Kiss And Make Up with @DUALIPA  and @…""",FALSE,7463,0,FALSE
music,FALSE,"""@yojackieee @sakrebs04 @MichaelRapaport No I'm not. I see why you guys think that is similar but I don't agree with… https://t.co/ETzsXUD3yc""",FALSE,0,0,TRUE
music,FALSE,"""@LindseyStirling doing the @LeagueOfLegends worlds’ music and performing the song in Paris for the finals after her… https://t.co/pp1jzAfD7t""",FALSE,0,0,FALSE
music,FALSE,"""RT @seokjinbit: tHE BACKGROUND MUSIC GOT ME WHEEZING OH MY GOD bless those men for doing their jobs right tho yes https://t.co/o9TKnzt6eM""",FALSE,491,0,FALSE
music,FALSE,"""RT @BTS_National: 190503 __ 'Boy With Luv' wins #1 on Music Bank today! Congratulations BTS &amp; ARMYs!!
#BoyWithLuv8ThWin #_____ #BTS @BTS_twt…""",FALSE,1316,0,FALSE
music,FALSE,"""RT @LewisCapaldi: _________NEW MUSIC
___________ ____ __________ ______ ________
__________IT’S SAD x

__listen ____ https://t.co/ompfDUEB9M
pre-order album ____…""",FALSE,7218,0,FALSE
